comments,likes
"It’s really an inspiration for the younger generation to see that if you have zero talent	 a coke addiction	 and a loud opinionated whiny voice you can earn significant money on talk radio. Whom ever thought this was a good idea needs to go! Even the gAyBC beat them in the ratings",2
"Wow	 look at all the haters getting off on this. Yes I don't like what they talk  about at the Hour if the day And get away with it. Some of there comments and topics are not appropriate for that time of the morning.… See more Unpopular opinion I LOVE THEM I don’t think their content is relatable to Melbourne. They are very Sydney focused. That’s not their fault	 that is where they broadcast from. Jase and Lauren all the way. Moved to Nova with them.",2
All they talk about is filth on the radio,2
"Shock jock radio is so early 2000s. Learn about your new demographic or fail miserably. Pleeeeaaaaaase bring back Jase and Lauren.  That said	 given the dreadful way they were treated they probably wouldn't come back!  Maybe Humphrey & Fat Cat?  They'd still do better thann  Kyle & Jacki. No one is worth $10million a year….if they want to relate to the average person they should accept an average wage and donate the rest to the country’s hospital system and other charities. Melbourne will vote with their hearts. They got that salary regardless of Melbourne. We are getting them for free. Sydney have them for that coin	 Kiss Melbourne are happy. An absolute disgrace. Actual Melbournians struggling to earn good money and these 2 are getting millions. No where near worth it ! You will never beat Fifi	 Fev and Nick I cant stand sandylands ill never watch any show he's associated with. Who? I would rather listen to .... HELLOOO... frank walker from national tiles .. on repeat then any of these people talk on my way home.! Why inflict cockroaches on Victoria? Kick them back over the border and set Baygon baits for them. Victoria had their own talented DJ’s. They’re not worth $10 dollars  a year between them!!! Definitely not worth even 1 million. Their show is rubbish. They are worth a half eaten ham and cheese sandwich I have changed to listen Nova 100 now Who??? Gold 104.3 The Christian O'Connell Show for the win i couldnt imagine anything that would convince me to listen to them Woukd not pay five cents a day to listen to their crap Sydney people must be stupid then. They are overpaid to do what No like. Find them very distasteful!Even commenting gives them Oxygen Puppets get compensated for distracting the general population from what's happening in the world. If you want to make lot of money go and deceive be an entertainer. Same goes for sports stars	 actors	 etc. Jase and Lauren anyday! Anybody can get on a radio and talk gutter crap....not worth 10m I can't believe people still listen to commercial radio! Utter garbage and pointless That's cos they're crap They used to be great	 not anymore. Same old	 same old!! Those two  arnt even 5 cents  I would  rather listen to  billy brownless and James brayshaw  then listen to kyle and Jackie o I struggle to comprehend how they	 or anyone in that pseudo celebrity type of role	 are worth even $100k per annum when many important and needed professions earn less. Don’t mind her but can’t stand Kyle",2
They are offensive and arrogant ! Obscene amount of money for two unpleasant people. Lucky we have choice in Melbourne. My favourite has and always will be hughesy and kate been listening them from day one when nova was realised Who? Beau Woods don’t you love the media Yasss the Gold104.3  bins win!!!!! This is the only article about these 2 I will actually like.,2
Money For Nothing??? Radio is dead. Podcasts are the new GOAT,2
They are the best!!,6
"In fairness to kyle and J-oH their fans both have what would be considered as	 but not limited to	 an opinion. The twice I have listened to them I really enjoyed them . That’s sad. A breath of fresh air but Victorians are pretty stayed in their ways.",3
I get there show it’s A winner driving in the Sydney traffic I get a laugh  and I won’t listen to any others they have A grate show  it’s full of flavour I pay for a music subscription so I don’t have to listen to people like this,2
If I turn on the radio and they’re on I change stations. Who? Just a couple of foul mouthed boguns!!,3
This made my morning.. Jas & Lauren love these two..,4
"I can't turn it on in the morning on the way to primary school due to the swearing ""Doesn't f#ck""""n bother me"" I’m not suprised. He is why Cancel culture  started How they’ve lasted this long is beyond me! Glad I‘ve never listened to them! Gutter mouth radio Seriously who NEEDS that much a year? It's just greedy and Kyle has all his other business interests..Pathetic with the way this country has gone	 now. Tried to listen but it became just like every b/fast program boring?. Just the usual crap with commercials.",2
I’m sorry but I have changed to Nova I dont like how they speak to their listeners and there is so many inappropriate things while I’m taking my son to school.,2
"Because they’re NOT!! They wouldn’t know the first thing about the Montague St Bridge. Pathetic		times up		go back to Sydney. It’s not shock radio. Who? Sydney talk radio programs don't work in Melbourne it been tried before. they are rubbish! Nobody is worth that much money just for talking Rubbish on the radio	when you think there is so much poverty!!! Not worth 5.00 a year Long live frenzal romb",2
"Never going to work in Melbourne. Like they care what you think of them. Not F##KING LICKLEY The ratings survey went for 10 weeks	 and Kyle and Jackie were only on air in Melbourne for 3 of those weeks................... Get rid of kyle and people Might listen!!!he is a very arrogant person who's opinion on everything is of no matter!!! Nor relevant as the ratings were only measure for 3 out of 11 weeks. 2 discussing human beings. Social criminals. I am surprised they even have audience. I wish they would expand to Adelaide. Every breakfast show here is so boring and safe. I end up listening to Kyle and Jackie O on the iheart radio app anyway. I don't understand why we just don't have national breakfast shows like we do with drive shows. I love Jase and Lauren and now no longer listen to KiSS since they got booted off. Bad Bad Bad decision KiSS",2
Both are just egotist Don't care in the slightest what these out of touch sellout-brities say. The quicker this pair disappear from Melbourne radio will be bonus for Victoria No way! Pay this amount towards St Vinnies or to those who actually do things in life that meaningful and helpful Who have they convinced? You'll never get me to listen to anything that Sandilands is part of.,2
Over paid and over rated,2
Victorian's probably don't like listening to complete dribble That’s easy THERE NOT Who  ?? Worse decision they made getting rid of jase and Lauren Cause Melbourne's full of soy boys Kyle and Jackie O are putrid and vile! Don’t want to listen to them in Newcastle either!! What awaste of money donate it to the homeless Krystal Lewis-Smith i know this will make your day like it did mine No1 is worth that much Cant stand him! They are awful.,2
"Can they not be here in Melbourne??? They don't deserve that much. Go back to Sydney Bring in the Christian O'Connell show I've heard them a few times Pakenham = Paaykenham Cranbourne = Craanborne Williamstown - minus the S Potty mouthed bores	 tried listening once	 never again Seriously cancel them and fix our pot holes with their salaries thanka They are probably one of the worst to be homest I wonder how many of the people that actually listen are just waiting for a song! They are both Sydney people and should stay there Great news Kyle will cry now",2
"I work across the 3 states	 the difference in sense of humour is massive and Lauren	 Jase & Clint going great is the icing on the cake. KIIS can  theirs & Melbourne/Naarm’s Bring back Jase & Lauren ! The stuff they talk about in the morning having kids in the car for school morning drop off is not so appropriate Can't stand the sight of Kyle let alone having to listen to him. And this is why society is falling apart. Too much unearned value put on idiots like this and not enough spent on the important things necessary for everybody . Not worth talking about",2
"They are crap I wouldnt listen to them if i was paid a million dollars.. they are too full of themselves.. Sadly they use to be good. Now they focus on crass 	 vulgar content to shock you while you’re having your morning coffee. I’m not shocked anymore just disappointed. Your show needs more depth and I will switch back on. In fairness	 their show was on air in Melbourne for only 3 weeks of that 10 weeks that was surveyed.",2
I wouldn't give 2 bob for them Tayla Elizabeth I’m guessing your gonna tell me all about this tonight Commercial radio stations are like one long toothpaste advert Sorry but no radio host should ever earn that much. Just plain crazy Not surprised - overrated and bad taste,2
Dream on… they are rubbish I have never wanted something to fail more than this radio show in Melbourne,2
"Who pays these clowns $10m a year? To listen to absolute rubbish? They're neither entertaining nor are they value for money. I fail to understand why lifesaving paramedics and firefighters must beg for a pay rise and better equipment to protect the community	 yet these two offensive clowns get paid millions. There not worth that",2
"Give me 1 million a year for 2 years and I could be as obnoxious as those two together	 and then retire lol Already wildly disinterested	 the aggressive promotion put me off Completely over rated just full of them selves. Wankers the pair of em. They are not worth $10 million They call that	 entertainment. Huhhh !!! Overpaid and over rated... Stay focused on your audience. The eastern suburbs of Sydney and every flog who lives in it. Enjoy the 3 hour journey to travel 5 k. Bogans Much prefer to listen to gold FM. Christian O’Connell. Love the sense of humour from those folks",2
"ok im on 2uuu friday arvos and sat morning on with the big k 104.5 nowra we are so popular and topical not crass at all ............ move over Kyle is a flog. If heard the dribble they go on about can't see why they get paid that much Victorians of course. They are beyond woke	 no wonder they don’t get Kyle and Jackie O’s show! Good show	 get rid of them Go back to Sydney They are both grubs. Not worth 10 bucks. I wouldn’t feed them.",2
I think there would be a few directors from kiss feeling a little red faced right now knowing how much money they have wasted on these two bananas I hope a few upper management loose there jobs from some of the poor decisions they have made It’s a no brainer …. No one is worth a wage of that much. Not worth 10c,2
"Suffer in your jocks Glad we can get it here in QLD I'd rather listen to Christian	 Patsy and Jack. Atleast they have great personalities.  These two are empty shells. Both of you are not worth a fraction of that 10 million lol try double that After slacking off Melburnians during the Covid era	 hope Kyle goes home with his tail between his legs Well...obviously not a peoples choice..but someone else's just to give away 10mil..think I'll go watch Judge Judy now...",2
"Bye see ya shut the door on the way out They need to be replaced	 they are the worse segment on KIIS 97.3FM How stupid are the owners to offer that much money to gong beaters Dumbest radio shot ever	they talk about the most idiotic topics out there. Both got brain worms. I’m No radio presenter(s) are worth 10m a year. especially	 these two. Millions wasted. Could be put to good use somewhere else. A w and a bimbo without a  - great combination.",11
That's what happens when you mess with Melbarians. Gold104.3 fm for me!! Or NOVA No one is worth 10 million a year! Gtfo!!,2
"Lauren is better Nothing good about Commercial FM.. That money could be used to help many charities Lauren Phillips is so beautiful JackiO is terrible Intellectual pygmies. Total cliches. Haven't got an original	 creative bone in their bodies. And looking at that photo of Sandilands it's a SUBSTANTIAL body. And as for Jackie O'no	 the words mutton and lamb were invented for her. Eat the rich I'd rather listen to cats fighting at night Well I guess they'll get the spin doctors out	 and try to convince Melbourne that we need them. Sooner or later the realization will bit the bosses that their just not entertaining in any way !!!!! Ten million......and what return do you get for that??… See more Get over yourselves Cause they’re not worth it! 10 million that is ridiculous not worth that nope That rating is actually good for them as far as Victoria goes. Even if they were to go now	 they’ve made the big bucks and are laughing all the way to the Ya think??? Melbs would not think they were worth $10 ! Because they aren’t worth that. Simples Kyle and Jackie O should walk into the ocean and never turn back We cling on to these Australian celebrities way past their use by date honestly. Who are they??? Who would listen to these two anyway",2
"If you don’t like change the station	 obviously they are on radio for a reason	 I bet you people complain about spilt milk. Go away we don’t need listeners like you lot.. WOULD  NOT listen to that creep in a million years!  Victoria DOES not want him! Unsurprising",2
Joey Henderson sucked-in Melbourne. I can't stand hearing kyle's annoying voice The ratings are wrong.... !!! Give me the ABC any day Tip - run a segment on the Melbourne-Sydney rivalry. Don’t get it Sydneysiders? Melbourne will Early days guys !!,5
"i switched when i heard they were broadcasting i followed jas  and lauren hate listening to kyle’s crap Immediately removed “Kiss” from my presets. There is no way! I’m not listening to that rubbish in the morning by accident!!! Go back to Sydney and let us listen to local radio presenters! They both have about as much talent as an empty shoebox	 l don't know how anyone could pay them the amount of money there on. Good can’t stand them NOBODY is worth that much money 	 I don't care what they do ! I've heard their show a couple of times and I wasn't really impressed . VOMIT MATERIAL And the nurses can’t even get CPI increases over the last decade….. something very wrong with this picture Not worth a slab and a pack of Winny blues No thanks and Carrie Bickmore  all annoying Brisbane doesn’t want them either That type of salary is utterly insane. I can’t stand either one of them I’ve turned off their station in Sydney for years now Jackie is mentally challenged and looks like a chewed up Kebab from spanians new Kebab shop! Best friend's  for life's Serge Rey Brenden Roberts told ya Asoon as I here them 			nope channel changed instantly.. Tommy Taylor hahaha I’m so glad!!! Who? No one’s worth that amount. No	 because we love our local Melburnians.",2
"They are just awful….. Jase and Lauren all the way best ever My life is not that miserable that I need these two to prop me up I didn't know people still listen to radio Yeah nah not a fan of them. Moved over to nova now for Jason and Lauren. They aren't Garbage in	 garbage out . Such a gross couple. And the way their predecessors were shafted was disgusting. Kyle is yuk.  Sorry that’s the only word I can use that fbook will allow I can't believe that that flog is still doing radio and that people actually listen to the flog.... It's a damning stat that reflects the low level of mentally of the population in which his dribble broadcast too.... Because they talk absolute rubbish. Yeah too bogan Sydney banter",2
"Doesn’t impact me	 never turned them on Can't stand them two. Who? Concieted opinionated etc",2
"Can't stand them Could've paid me $10 million to tell you they are useless!!! From Melbourne	 I just spiteful that Show is being made in Sydney and not being made in Melbourne",3
"Are they still trying to be famous? I knew that would be the case I have avoided them after day one.... Over rated	 Over paid	 Victorian content shafted	 replaced with 	s------. We didn’t need convincing They talk so disgustingly and inappropriately it’s revolting They are still on the radio Seriously? I’d pay to get rid of them! Have no idea of who they are 10 Mil... there not worth $10 He's such a flob. $10 million you must be joking no one is worth that.you would have to be brain dead to listen to these 2. some old guy talking lewdly all the time is not engaging radio Jase & Lauren all the way",2
Love Jase and Lauren on Nova,3
"Sorry	 but..........who?? Two bricks would be a better choice",2
"Offensive	 yuk and massively overpaid. Has beens Can’t stand either of them! As a sydneysider	 they also fail to convince me their worth lol Kyle is worth a kick in the doodle and nothing more 10m each? Jesus I have to tune in now just to support them. Steve price must be having a ‘chuckle’ with the latest ratings!",2
"Waste of money sucked to person that paid all that	should brought a car or house or boat or anything lol lol Worst decision KIIS made They need to be sacked Such sad news Fat red donuts are no good on radio. isn't it that if people want that kind of fake drama these days they just go on tik tok... Don't like either of them & Karl is an overpaid egomaniac!!! Here in Melbourne we don’t do crass. Can't stand them. Young people like the badly behaved	 they find it amusing. 10 million a year	where does the money come from?what do they do to	talk on the radio for a couple of hours	that's ridiculous This radio station must have a hell of a lot of money to throw away Take them off! I dunno what's worst	 these 2 or the people that listen to em and say they're good Not my cuppa tea	I'm extremely open minded!But from what I've heard so far	I'm like WTF!!!! What? $10 million a year? They're not worth $10 a year for what they do on radio! Pathetic buffoon! no idea what everyone is having a cry over	 they arent scared to say what there thinking	 and like they say on there radio show if u dont like it then dont listen its pretty simple. I lost respect for kiis when they got rid of Jase 	 Lauren and Clint. Nova now They are not even worth 5 cents Don't know or care who they are. Victoria is in debt Jackie	 didn't you know. Sydney radio.....stays in Sydney. Who listens to radio let alone these clowns now? Vial on a good day	  worse on a bad day…. Stay classy	 Melbourne ! Think of all the sales reps on $45k scuttling 30second spots to cover ten million bucks before anyone else gets paid Radio hosts haven’t been the same since the 2000s With all the woke… rules in place and snow flake society we live in … See more Go back! Melbourne people aren't stupid nor gullible.  They may be popular in Sydney but a big NO THANKS in Melbourne. I like real relateable humour from my breakfast show The Christian O'Connell Show",4
Hahahahahaha sucked in  thats what you get for being tools Not relevant sorry till survey 5 Good news Back off to Sydney you go losers,2
"""""""Kyle"""" "" The most over rated Typically Sydney … See more Krystal Dickinson …. Jase and Lauren any day. He’s like a large beetroot. A large beetroot has more taste. Early days	 it will happen No one is worth that much Not worth one single cent Cart man and Jackie Ho",2
"People will soon forget and start listening get em off the radio both hasbeens They haven't ever convinced me.. They're not relatable nor likeable. Go Christan	 104.3.. love your show in the morning Melbournians rate class above crass. Obscene salaries	just like them. Can’t stand this guy I stopped listening to kiis fm because of these 2 now I listen to nova fm I can't stand Sandilands. They get paid to much The problem is that radio stations are forcing people to listen to wankers like them. It’s cheaper for the stations to have a show broadcast to all states. Good they are rubbish anyway These two are disgusting Surely there are better ways to make money. Shame on you both. No surprises there... i moved from kiss to noval couldnt stand them Not worth 10 mil They are crap. No they bloody not Crazy money when people are doing it so hard Radio sucks anyways there all yesterdays ham sandwiches if ya ask me. I never liked them to begin with so not cherry off my tree How feckin much Hahahahahahaha yer right think time they went bye Hailey Neindorf  who didnt see that coming I will NEVER understand why jerks like this who contribute NOTHING to society get paid soooo much when first responders/doctors/nurses get paid diddly-squat for actually saving people’s lives & teachers/childcare/aged care workers get paid next to noth… See more Who even listens to radio anymore? Podcasts are killing it. No 10 minute ad segments and people don't have to watch what they say out of fear of losing their job. Radio sucks. Anyone that thinks those two are worth anything is an idiot Any smug know it all foul mouthed idiot	 from Sydney	 does not get the respect they want	 as they are overpaid	 over hyped	 loud mouth and woke fool	 who sucks up to a Prime Minister who is a spineless man who does not go out mingle and listen to the p… See more Probably because they're not worth anything at all. So do Jas	 Lauren and Clint all get big pay rises now? They deserve it",3
"Shock Jock? More like a Jock Strap. Turning that off is as easy as turning Amanda Doyle off. Throw em in the bin and take bickmore with you their not Who? And who? Why would Melbourne want to listen to that flog from Sydney? Hope the ratings keep falling.... Yep and will Only get worst Was the wrong move kissfm … See more Don't know whose worse these two or akmal sali and hughsie Stick to Alaska guys. The eskimos might like a laugh and giggle at you two. For the amount of money you’s two are being paid I could name a few better radio hosts. Even Billy Brownless is a million times better than you. surprised not Tuned in for 10 minutes	 listened for 10 minutes to some girl call her friend who is pregnant with her brothers baby and try to convince her to be a lesbian. Tuned out never to return. Cause they’re not! Overrated windbags	 both of them I untuned 101.1 off my cars presets and haven't listened since the moment they were announced as talk show hosts. It’s disgusting to think they get paid $10 million to broadcast such crap. Thank goodness	 they’re in Melbourne and not national. Surely that's a typo they couldn't surely be on 10M a year They arnt worth $10 let alone $10 mil.. especially not that flog Kyle Are there any doctors getting that much money? I'll bet not. That amount of money is absolutely ridiculous. Not even worth a couple hundred thousand!! How bloody stupid Kyle said he	 “conned Australians into taking the vaxx” Over paid load mouths Go back to SHITNEY & stay there ! good luck to them but how do a pair with a combined IQ of 11 become popular. Says more about the IQ OF THE LISTENERS Not even worth $1m let alone $10m!  what a joke! Jase & Lauren love these two Get back up to Sinny. Fake news	 their show was only running 3 weeks of the 11 week survey period	 such a fake headline If uncle Doug was still going they wouldn’t have been heard of What a waste of money. Both of them are terrible. Worth as much as my old left boot I find it difficult to comprehend how a radio station can raise 10 mil a year to pay ordinary people. And why would you want to? Show was better before introducing Melbourne	 trying to accommodate too many people. Jase and Lauren way better and I’m in Sydney Self obsessed look at me’s 	 not worth a cent give it to the nurses There a people who cant feed their children and these two twits are paid 10 mill a year to speak on radio? Santa  Claus and HO Ho ho are a bit early for Christmas in July Excellent news Kyle and jackie are cringe. Terrible radio. The radio in the truck is stuck on Kiss fm. Cant believe it took this long to figure out how painful they are Who even listens to radio anymore? Now everyone’s sick from jabs and struggling to pay rent 	 food ect I’m pretty sure they had no hope getting listeners on that salary$  especially being in the worlds most locked down city Life is different and sick  now they are 4 years to late The… See more",3
"Radio is radio	 some good some bad	 but what idiot thought this pair of financially bloated plonkers were worth $10 million a year....fcking absurd that's what it is.. You know listening to your local COMMUNITY radio is way better than listening to these OVERPAID	OVERRATED people who believe their own BS…. Same folk that complain about general practitioners not bulk billing Re-badge it as the Fat and Jackie O Show. What drugs do they take to have that delusion",2
If you enjoy filth you can listen to 106.5 Because they are shithouse !! Cut the rubbish talk and play some music Got me stuffed why people listen to them. Hes a first class pig. Australia is going to the rubbish heap. I haven't listened to them even for a minute when they were in Sydney. Vile rubbish.,2
"Usually puppets come and go new ones comes and old one fade away Not even worth $100k a year. If you have monkeys	 surely you should be paying peanuts. $10mil a year 	 that's disgraceful But Jackie O is cursed! Whatever media she is involved with withers and dies. can't stand these 2 Fancy being that much to hear someone talk. No thanks Oh wow	 I thought they were over years ago and they just kept reruns of their show. Z list celebrities aye? I want a full REFUND 10 million a year???? Ffs…. Who are they? Nothing special at all clearly. Go back to Sydney. Nobody likes you here. He is a big mouth obnoxious.  Know nothing Cos they are arrogant twats Give it Time It’s a sad reflection of our society that they ever rose to prominence. A certain type of person tunes into these clowns Let’s kick them out of Melbourne Vile and Jackie hoe. They get paid for being Obnoxious and disgusting. How can they even do morning radio. So inappropriate for kids. The clowns are delusional thinking they will do better I wouldn’t give them a dollar Ridiculous amount of money. What do they contribute to society? I listened to it once and found that Kyle is such a pig  and worthless at his job waste of space and money Maybe back in 2006 lol 2 FKWITTS Imagine paying two randoms that amount	 to talk on the radio for a few hours each morning. Ten bucks and i want change !! bring back lauren and chase anyday And who actually cares? Jackie nought is looking racy and I wonder does she also do flaunting Wouldn't  pay ten bucks for either.. No way . I WOULDN	T PAY TO SEE THEM...VILE AND CRAZ Muppets. Well that's obvious lol marvellous how many people don’t read the story  3 weeks out of an 11 week survey",2
"Goes to show how culturally illiterate Sydney MFs are aha Never liked them 	 just over paid @#$%&*   and the sheep still listen to them Jackie and Kyle are such great ambassadors for Australian culture	 im not sure why people hate them so much!! $150	000 a year is More then Enough... $10	0	000 p.a.??  Sheesh! Just teething problems…. They will dominate in ViC eventually cause they have $$$ behind them I’m not the demographic their show is aimed at but they’re grubs. Not surprised Melbourne does not go for their style of radio. I actually don't mind them but prefer fox and nova. $10m a year for that!?! Capitalism is just crazy. Wouldn't listen to that flog if you paid me",2
"Sandilands is a total flog Get rid of the idiots FW1 AND FW2 noise makers	 not worth my ears. Boycott these pos themats y the country has so much trouble with money no one is worth any where near that $1m a yr maybe at tops Utter talentless crap What a waste of my money They are just two pathetic people They love to give their opinions to everyone but they don’t like anyone to have their opinions they are just pathetic Rubbish $10	000 maybe. An embarrassment to Australia crass	 and incredibly stupid $10 million a year for how many hours a day? They aren't Because they are not. Waste of space...I turn the radio off when they come on. Same with that awful Chrissie Swan creature Daily Mail TBH Australian radio is so terrible I use the ROVA app off playstore and only listen to Mai FM & The Rock radio stations from New Zealand... we should be rebroadcasting it over here beats these twats 1000-1 Send them back. May they suffer the same fate as Starbucks did here. Overrated shorthorns.....not worth half the money... They are awful him more so they are despicable halfwits That’s because they are awful. I wouldn't give em $10. It's all utter a bunch of  s people will watch any rubbish lol. Ha ha couldn’t happen to a better bunch of 2 flogs that shaft people ….take them off the air This post has even got more likes than they do Overated. Crude and vulgar. Boring and stupid. Waste of air time - and good dollars. Goodbye and good riddance. We don’t want them You're missing brain cells if you listen to these immoral slugs. Not even worth $0.01c How anyone could ever spend more than 10 seconds listening to these human compost piles is beyond me. And who is stupid enough to pay them $10m?? People waking up	 they are not that good. Well isn't that disappointing. Maybe they could replace them with a couple of baboons so we can get something more interesting to listen to. won't work I said this in Jan ur not based in melb wethet ever other fm is fox and mmm run this state really escapes me who tf listens to them.. he is an absolute Oxygen Thief.. Pair of Loosers	 no one likes. They are just like the Blues footy team	 no one likes them either. Who cares Melbourne hate Anything Haters gonna hate.... must be a slow news day Who even listens to radio anymore? And how would they even make enough to pay these useless people that much money?",3
"sexist pos and an enabler	 no thanks He	s an arrogent piece of S..T Most of these presenters are bs...just shut the crap about your home lives and play music He is utter & always has been. nobody is worth that much. Who listens to these dicks Ky Lee & Jackie's Whole (2010) https://youtu.be/YkJacOh_Jro?si=tl2nqZPLH7r0BRn1 Well yeah	 overpaid flogs Why would you try to convince Melbourne if anything	 don't forget a majority of people there agreed with Dan Andrews that should tell you there not all full quids No surprise there. Melbourne don’t like pretentious dicks like these two Nobody is worth that. Should have stuck with Ron Casey! get paid millions to talk s*~t while people breaking there backs for peanuts If Sydney didn’t rate them why would Melb…. Go home flog! 10 million a year? seriously Two complete flogs. Melbournians  and have taste and these two are bad. No radio host is worth 10 mil a year We are one but we are many don’t push agendas that might help ratings They are so lame. Wouldn't pay $1 to listen to that flog A lot of money to sit behind a microphone & listen to those 2 idiots Ha ha love seeing the snow flakes comment they only started half way through the ratings give it time",2
"After reading these comments it seems like Melbourne are are a wise group of people....not taken in as easily as Sydney and we definitely don't want them in SA....maybe Tasmania will take them in..slight pay cut naturally.. how can you justify $10 Million per year what a joke Who wants to listen to a flog Both are Sydney wankers how could they possibly be worth that sort of money ? what do they actually do except feed their shallow egos ? Only inflation you two have is your inflated sense of self worth. Like to see them fall of their perch Send fat ars and his flusie back to Sydney Hahaha	 who cares apart from the non humorous left wokies	 they have more $ than any of you ever will A couple of ratbags These 2 have verbal diarrhoea . Arrogance and Bimbo-whats to like about that??? To talk on the bloody radio? are you kidding ME? talk about gone bonkers !! And? Good. These idiots are overrated. Belittling others and whining into a microphone is not talent. Theyre not worth 5 cents. They're so gross. Kyle says stuff that's disgusting	 Jackie O just goes with it. Disgusting people. Both are a waste of oxygen Haha best news in Melbourne POQ back to Sydney ya flogs I spend $30 a month on YouTube music so I don’t have to listen to opinionated DJ’s like these two clowns BS they are great ! Yes	 I've never liked kyle	 you can put lipstick  on a pig 	 but he'll still be a sexist pig. He has made himself a reputation from many years ago in my eyes as a disgusting man	 that no matter how he tries to improve his image it won't excuse his past. They’re not nearly enough of a communist nor boot licky enough for Melb i just wish he would stop telling everone he is from Qld. I Agree With A Comment on here . There are more deserving people who should be paid so much more. They're both A grade flogs and l wouldn't listen to them for even a second! Melbourne ppl have exquisite taste! Media personalities are A yuk …. Can’t stand them A Yeah right ! You know people on the pension deserve a lot more to pay bills 	 food 	petrol	 insurance house as just over $1000 fortnightly just doesn’t cut it !Yet the politicians get heaps more in their pensions to live their late years on ! Totally Unfair! He is a fowl mouth pig and she is just a blonde bimbo Can’t stand them. He’s a pig and she’s just a yes girl. Sack them Australia wide. They don’t deserve that kind of money.",2
"Would of worked better in Brisbane. The two cities are too far apart. These two are complete grubs. The fact they get paid so much is a disgrace and an embarrassment. Come join the rebellion and send these clowns back over the border. #christianoconnell #binarmy She looks like a scarecrow He is VILE	OBNOXIOUS & REVOLTING LOL	glad to see his ratings	for me was never going to happen	nothing beats Ross & Russ on 3AW........",2
"Two wannabes in Melbourne hope it doesn't work Two vacuous bimbos. Get a real job Chelsea Prentice I think they are just pigs	 there is no need for gutter crap on air. How about $10 million for them to shutup and emigrate elsewhere. Good go back to Sydney Amelie Ruby Who's silly enough to pay them 10 Million??... Sandiland is vile and repulsive	 Jackie isn't much better. Anyone who listens to them is in the same barrel. Wow seems the snowballs are upset These guys are a some of the most honest whitest people I’ve met Aimee Cuthbert Nicholas Holloway I've seen more intelligent retards! Ronuka Jayawardana Both are pretty big on self appreciation..........................the morons. Has Kyte's head finally exploded? Luke Demelis I hope KIIS FM folds that will teach them a lesson. Melbourne hates these idiots Zoe Tipping Natalie Drazic Joshua Attard I can’t belive that old fat guy is only in his early 50s 	 she looks ok tho Michelle Irwin Taylah Spence Mary Hickey He's the most high profile person with downs syndrome that I can think of. Helen Younger ""They """"had to convince Melbourne""""?"" Sarah-Jo George Awesome send them back to Sydney They are actually quite ! Natalie Packer Victoria Sweetland Kyle and Jackie O Billy Patrick Alanah Sbisa Chloe Hocking Krys Louise Josh Peake Gabe Herbert Jacinta Lui Makayla Bittles Lanz Elkin Sue Jenkins Yasodha Selvarajah Emily Ye Thomas Marks Tanisha Coombs Christie Visser Watching paint dry would be more interesting.  These two are so overrated.  Dumb and dumber. Rachelle Walton Joanna Senn Belinda Huynh Ria Geline Suzie Jean Zahrah Rahim Lizzy Pas Jessica Peters Chloe Patricia Natalie Tankard Sai Shorty Patsy Who listens to these flogs https://youtu.be/gPQFF0oqsto?feature=shared No	 beaten in Melbourne? Who would have thought! Boot them off Fans are fickle	 I did away with these 2 imbeciles years ago. Getting paid ludicrous amounts for verbal garbage. FLOGS He's a idiot and she is a crazy girl to be working with the tool Everyone knows that Melbourne people are a bit slower than Sydney people.",4
"I wish they’d get cancelled already	 they are awful. Kyle is an absolute pig	 and Jackie is an embarrassment to women. Cancelling Jase and Lauren for these clowns was the biggest mistake ever! Once I heard Kyle brag about never paying for parking when he parks on side of the road. On The radio show. He was showing off how much he pays in fine every month. Wow !!!! What a content !! Showing off that look I am $h*t but I get 10 millions but he… See more Albo says housing affordability crisis is created by previous LNP rule for past 9 years. Albo is a nice guy	 but does he realise that established homes are purchased by hoarders such as companies	 SMSF	 fake family trust	 cash rich boomers	 super rich … See more They are both morons especially him how they get paid that amount of coin let alone able to be on air is beyond me he is a disgusting human being Is that the “people” that coursed that nurses suicide? Fake news by fake media Daily Mail - they have been on air for a small percentage of the ratings period and this data is meaningless. Why would Melbourne even want to listen to these two tards... unless you're a tard as well What is wrong with his face. Does he need Icepacks Did they actually do ANY recon work prior to bringing these two twats over?! Boycott the show. They are dogs taking other people's jobs in Melbourne. Just proves that Melbourne people are smarter than Sydney people Opinionated non entities and popularist parasites. Mouths without minds. Need I say more? Jase & Lauren all the way I wonder if they've driven anyone to suicide lately. Yeah	 they need to take the filth out. I still can't believe that Jacki admitted to shitting in the street behind a bin. What a grub. Off course not.				. And others having 80 thousand dollars a year. Now that's fear???. where's the inflation Here. All the inflation is only on  the poor??? Not a shock yo anyone who lives in Melbourne. Who wants to listen to that rubbish  clearly not Melburnians!!!! He’ll get controversial to get media. That’s his MO. Why are people whinging? Change the fking channel and it's no longer your problem lol. Bunch of tards. Good. Never understood why people idolise these morons Is that how much these over opinionated pricks are getting? Head back to Sydney. We do not like your BS brain-dead banter. You do not belong here Melbourne always thought they were ws WhyTF do these morons get paid $10M a year? No wonder our society is in trouble. Me too he is a pig and should be on radio Wouldn’t listen to these grubs. Junkies	 and guessing serious drug users. I don’t listen or give a xxxt That pair of cretins are a waste of oxygen. Talking about b@#w jobs and hairy pu@#ys isn't all that good to listen to. Grubs.",6
